Delta_Secs, Player_Loc, Collision_Zone_loc, DTC_uu, Estimated_Gaze_FV
0.050171,X=0.000 Y=0.000 Z=0.000,X=150.000 Y=-560.000 Z=60.000,582.837885,X=1.000 Y=0.000 Z=0.000
0.4,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.4,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.155899,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.061699,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.05143,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.051886,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066816,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066558,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066372,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.067122,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066381,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.067271,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.06672,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066146,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066744,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066898,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.092966,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.072205,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.06172,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066975,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066536,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
